neighbourhood,property_type,price,rooms,baths,area,age,garages,stratum,neighbourhood_fuzzy,property_type_Encoded,neighbourhood_Encoded
CAQUETA,APARTAMENTO,440000000,3.0,2.0,77.0,0.0,0,3,CAQUETA,1,88
LOMA DE LAS BRUJAS,APARTAMENTO,1030000000,3.0,3.0,107.0,0.0,2,5,LOMA DE LAS BRUJAS,1,309
PAJARITO,APARTAMENTO,165000000,4.0,1.0,43.0,1.0,0,3,ROBLEDO PAJARITO,1,438
LAS LOMITAS,APARTAMENTO,620000000,3.0,2.0,78.0,0.0,1,4,LAS LOMITAS,1,296
CAMINO VERDE,APARTAMENTO,479000000,3.0,2.0,78.0,1.0,2,4,CAMINO VERDE,1,80
FRANCISCO ANTONIO ZEA,CASA,450000000,4.0,2.0,110.0,0.0,0,3,FRANCISCO ANTONIO ZEA,2,191
FRANCISCO ANTONIO ZEA,APARTAMENTO,165000000,3.0,1.0,65.0,2.0,0,3,FRANCISCO ANTONIO ZEA,1,191
CALASANZ,APARTAMENTO,365000000,3.0,2.0,78.0,3.0,1,4,CALASANZ,1,72
ALTOS DEL POBLADO,APARTAMENTO,450000000,2.0,2.0,64.0,0.0,1,4,ALTOS DEL POBLADO,1,17
LA INMACULADA,APARTAMENTO,750000000,2.0,4.0,166.0,2.0,2,5,LA INMACULADA,1,252
LAS LOMITAS,APARTAMENTO,420000000,3.0,2.0,75.0,0.0,1,5,LAS LOMITAS,1,296
EL POBLADO,CASA,1450000000,3.0,5.0,212.0,3.0,4,6,ALTOS DEL POBLADO,2,17
CUMBRES,APARTAMENTO,730000000,3.0,3.0,120.0,0.0,1,4,CUMBRES,1,128
SURAMERICA,APARTAMENTO,460000000,3.0,2.0,71.0,0.0,1,4,SURAMERICA,1,501
ESCOBERO,APARTAMENTO,1337360000,3.0,3.0,163.0,0.0,2,5,ESCOBERO,1,178
BUENOS AIRES,APARTAMENTO,330000000,2.0,2.0,74.0,1.0,1,3,BUENOS AIRES,1,65
URBANIZACION VILLA VENTURA,APARTAMENTO,172000000,2.0,2.0,56.0,2.0,2,3,URBANIZACION VILLA VENTURA,1,555
LOS ALCAZARES,APARTAMENTO,550000000,3.0,2.0,64.0,0.0,0,4,LOS ALCAZARES,1,329
AVES MARIAS,APARTAMENTO,410000000,3.0,2.0,71.0,3.0,1,4,AVES MARIA,1,35
SANTA CATALINA,APARTAMENTO,650000000,3.0,2.0,97.0,0.0,2,4,SANTA CATALINA,1,472
SHELLMAR,APARTAMENTO,579000000,2.0,2.0,82.0,1.0,1,5,SHELLMAR,1,497
SIMON BOLIVAR,APARTAMENTO,480000000,3.0,2.0,95.0,0.0,1,5,SIMON BOLIVAR,1,498
LOMA DE LAS BRUJAS,APARTAMENTO,1250000000,3.0,5.0,205.0,1.0,2,6,LOMA DE LAS BRUJAS,1,309
AVES MARIA,APARTAMENTO,850000000,4.0,4.0,215.0,0.0,2,5,AVES MARIA,1,35
LAS PALMAS,CASA,2100000000,3.0,4.0,300.0,0.0,0,5,ABURRA SUR ALTO DE LAS PALMAS,2,2
LOMA DE LOS PARRA,APARTAMENTO,1150000000,3.0,4.0,190.0,0.0,2,6,LOMA DE LOS PARRA,1,313
MARIA AUXILIADORA,APARTAMENTO,227000000,3.0,2.0,52.0,1.0,0,2,MARIA AUXILIADORA,1,354
EL PORTAL,APARTAMENTO,635000000,3.0,3.0,130.0,1.0,1,5,EL PORTAL,1,157
PAN DE AZUCAR,APARTAMENTO,230000000,3.0,2.0,75.0,0.0,0,2,PAN DE AZUCAR,1,393
LOMA DEL INDIO,APARTAMENTO,420000000,2.0,2.0,58.0,1.0,1,4,LOMA DEL INDIO,1,320
LOMA DEL ESCOBERO,CASA,3000000000,6.0,7.0,600.0,2.0,6,6,ESCOBERO,2,178
LAS PALMAS,CASA,4506500000,3.0,5.0,500.0,2.0,4,6,ABURRA SUR ALTO DE LAS PALMAS,2,2
ROBLEDO,APARTAMENTO,180000000,3.0,1.0,45.0,0.0,0,3,ROBLEDO,1,437
BELEN,CASA,450000000,3.0,2.0,105.0,0.0,0,3,BELEN,2,44
LA CANDELARIA,APARTAMENTO,150000000,3.0,1.0,43.0,3.0,1,3,LA CANDELARIA,1,226
CARLOS E RESTREPO,APARTAMENTO,370000000,3.0,2.0,90.0,3.0,1,4,CARLOS E RESTREPO,1,90
EL SALVADOR,CASA,230000000,3.0,2.0,100.0,4.0,0,3,EL SALVADOR,2,163
BENEDICTINOS,APARTAMENTO,635000000,2.0,2.0,114.0,0.0,1,5,LOMA BENEDICTINOS,1,306
CUMBRES,CASA,740000000,2.0,3.0,155.0,0.0,1,5,CUMBRES,2,128
EL SOCORRO,CASA,250000000,4.0,2.0,96.0,2.0,0,3,EL SOCORRO,2,164
LOMA DEL ESMERALDAL,CASA,1700000000,4.0,4.0,204.0,3.0,2,5,EL ESMERALDAL,2,149
BENEDICTINOS,CASA,1900000000,3.0,4.0,305.0,0.0,4,6,LOMA BENEDICTINOS,2,306
HOLANDA,APARTAMENTO,850000000,3.0,3.0,161.0,1.0,2,4,HOLANDA,1,199
SANTA MARIA LA NUEVA,APARTAMENTO,245000000,3.0,2.0,57.0,3.0,1,3,SANTA MARIA LA NUEVA,1,482
QUEBRADA LA CLARA,APARTAMENTO,1165000000,3.0,3.0,150.0,1.0,2,5,QUEBRADA LA CLARA,1,428
LOMA DEL INDIO,APARTAMENTO,530000000,2.0,2.0,64.0,0.0,1,5,LOMA DEL INDIO,1,320
ZUÑIGA,CASA,2250000000,4.0,5.0,315.0,3.0,2,6,ZUÑIGA,2,592
BOSTON,APARTAMENTO,310000000,4.0,3.0,104.0,0.0,0,4,BOSTON,1,61
SURAMERICA,APARTAMENTO,450000000,3.0,2.0,92.0,1.0,1,4,SURAMERICA,1,501
POBLADO SANTA MARIA DE LOS ANGELES,APARTAMENTO,530000000,2.0,2.0,70.0,3.0,1,6,SANTA MARIA DE LOS ANGELES,1,481
SURAMERICA,APARTAMENTO,430000000,3.0,2.0,87.0,0.0,1,4,SURAMERICA,1,501
PAJARITO,APARTAMENTO,170000000,3.0,1.0,4749.0,1.0,1,3,ROBLEDO PAJARITO,1,438
SAN LUCAS,CASA,1190000000,3.0,4.0,209.0,0.0,0,6,SAN LUCAS,2,462
ITAGUI,APARTAMENTO,270000000,3.0,2.0,57.0,0.0,1,4,ITAGUI,1,203
ROBLEDO,CASA,190000000,3.0,2.0,72.0,2.0,1,2,ROBLEDO,2,437
SURAMERICA,APARTAMENTO,430000000,2.0,2.0,65.0,1.0,1,4,SURAMERICA,1,501
LAS LOMITAS,APARTAMENTO,370000000,2.0,2.0,60.0,1.0,1,3,LAS LOMITAS,1,296
CALASANZ,APARTAMENTO,515000000,3.0,3.0,126.0,4.0,1,5,CALASANZ,1,72
LA MOTA,APARTAMENTO,375000000,3.0,2.0,72.0,4.0,1,4,LA MOTA,1,263
URBANIZACION NUEVA ANDALUCIA,APARTAMENTO,160000000,2.0,1.0,43.0,2.0,0,3,URBANIZACION NUEVA ANDALUCIA,1,544
ALTOS DEL POBLADO,APARTAMENTO,386000000,3.0,2.0,96.0,3.0,1,5,ALTOS DEL POBLADO,1,17
ESCOBERO,APARTAMENTO,960000000,3.0,3.0,128.0,1.0,2,6,ESCOBERO,1,178
LAS LOMITAS,APARTAMENTO,380000000,3.0,2.0,83.0,0.0,2,4,LAS LOMITAS,1,296
SANTA MONICA,APARTAMENTO,340000000,3.0,3.0,91.0,0.0,1,4,SANTA MONICA,1,484
LAS PALMAS,APARTAMENTO,690000000,1.0,2.0,75.0,0.0,0,6,ABURRA SUR ALTO DE LAS PALMAS,1,2
VILLA NUEVA,APARTAMENTO,180000000,2.0,1.0,47.0,3.0,1,4,VILLA NUEVA,1,571
CENTRO,APARTAMENTO,230000000,3.0,2.0,65.0,0.0,0,4,CENTRO,1,101
LAS PALMAS,APARTAMENTO,215000000,3.0,1.0,110.0,4.0,0,3,ABURRA SUR ALTO DE LAS PALMAS,1,2
ZONA CENTRO,CASA,1200000000,6.0,5.0,213.0,3.0,2,5,CENTRO,2,101
CALASANZ,APARTAMENTO,335000000,3.0,2.0,71.0,0.0,0,5,CALASANZ,1,72
LAS LOMAS NO.1,APARTAMENTO,1600000000,2.0,3.0,165.0,1.0,2,6,LAS LOMAS NO.1,1,295
LAS BRISAS,APARTAMENTO,225000000,3.0,2.0,72.0,1.0,0,3,LAS BRISAS,1,286
BUENOS AIRES,APARTAMENTO,520000000,4.0,2.0,130.0,3.0,0,3,BUENOS AIRES,1,65
BOSTON,CASA,280000000,3.0,1.0,90.0,0.0,2,4,BOSTON,2,61
LOMA DEL ESCOBERO,APARTAMENTO,610000000,2.0,2.0,81.0,1.0,2,5,ESCOBERO,1,178
EL CARMELO,APARTAMENTO,650000000,3.0,2.0,107.0,1.0,2,5,EL CARMELO,1,137
LOMA EL ATRAVESADO,CASA,1400000000,3.0,4.0,183.0,2.0,2,6,LOMA EL ATRAVESADO,2,322
RODEO ALTO,APARTAMENTO,263000000,3.0,2.0,58.0,1.0,1,3,RODEO ALTO,1,440
LOMA DE LAS BRUJAS,CASA,750000000,5.0,3.0,130.0,3.0,1,5,LOMA DE LAS BRUJAS,2,309
LOMA DEL ESCOBERO,CASA,1100000000,6.0,5.0,330.0,3.0,2,4,ESCOBERO,2,178
LA CEJA,CASA,560000000,3.0,5.0,170.0,1.0,1,4,LA CEJA,2,230
SAN JOSE,APARTAMENTO,595000000,2.0,2.0,66.0,0.0,1,5,CONJUNTO RESIDENCIAL SAN JOSE,1,121
LOMA DE SAN JOSE,CASA,1200000000,3.0,4.0,371.0,0.0,1,4,LOMA DE SAN JOSE,2,314
LA MINA,APARTAMENTO,230000000,2.0,1.0,74.0,1.0,0,3,LA MINA,1,262
CALASANZ,APARTAMENTO,580000000,3.0,1.0,88.0,1.0,1,4,CALASANZ,1,72
LAS PALMAS,CASA,2600000000,3.0,4.0,230.0,1.0,10,5,ABURRA SUR ALTO DE LAS PALMAS,2,2
SABANETA REAL,APARTAMENTO,360000000,2.0,2.0,76.0,0.0,1,4,SABANETA REAL,1,442
PRADOS DE SABANETA,CASA,540000000,4.0,2.0,117.0,1.0,0,4,PRADOS DE SABANETA,2,422
SECTOR PARQUE,APARTAMENTO,290000000,3.0,2.0,65.0,1.0,1,3,SECTOR PARQUE,1,492
SAN MARCOS,APARTAMENTO,445000000,3.0,2.0,105.0,2.0,1,4,SAN MARCOS,1,463
ROBLEDO,APARTAMENTO,548000000,3.0,2.0,90.0,1.0,1,5,ROBLEDO,1,437
PRADO,CASA,740000000,5.0,3.0,290.0,4.0,1,4,SAN ANTONIO DE PRADO,2,448
LA MINA,APARTAMENTO,240000000,3.0,2.0,55.0,0.0,0,3,LA MINA,1,262
MANRIQUE,CASA,250000000,3.0,2.0,99.0,0.0,0,3,MANRIQUE,2,351
CASTILLA,CASA,260000000,3.0,1.0,90.0,3.0,0,3,CASTILLA,2,95
CAMPO VALDES NO.1,CASA,195000000,3.0,1.0,85.0,0.0,0,3,CAMPO VALDES NO.1,2,84
LA MAGNOLIA,CASA,700000000,4.0,3.0,223.0,3.0,1,3,LA MAGNOLIA,2,258
LA MINA,APARTAMENTO,360000000,3.0,2.0,115.0,3.0,1,3,LA MINA,1,262
EL ESMERALDAL,APARTAMENTO,580000000,3.0,3.0,103.0,1.0,1,5,EL ESMERALDAL,1,149
MONTEAZUL,APARTAESTUDIO,330000000,1.0,2.0,48.0,0.0,1,4,MONTEAZUL,0,366
SABANETA,APARTAMENTO,340000000,2.0,2.0,74.0,0.0,1,4,ZONA CENTRO SABANETA,1,587
LAURELES,APARTAMENTO,450000000,4.0,3.0,124.0,0.0,1,4,LAURELES,1,303
BARRIO CRISTOBAL,APARTAMENTO,230000000,3.0,2.0,80.0,2.0,0,3,BARRIO CRISTOBAL,1,38
HOLANDA,APARTAMENTO,790000000,3.0,2.0,116.0,1.0,1,5,HOLANDA,1,199
