neighbourhood_Encoded,neighbourhood
80,CAMINO VERDE DE LAS COMETAS
272,LA RAYA PARTE ALTA
278,LA TOMATERA
474,SANTA ELENEA SECTOR CENTRAL
400,POBLADO PATIO BONITO
303,URBANIZACION LOS LAURELES
236,VEREDA LA DOCTORA
576,VILLANUEVA
365,MONTE VERDI
546,URBANIZACION QUINTAS DE LA 5TA
271,PRADERA
174,ENVIGADO CUMBRES
105,CERROS DE GUADALCANAL
334,LOS CERROS - EL VERGEL
351,MANRIQUE LAS ESMERALDAS
156,LAS PALMAS INTERCONTINENTAL COUNTRY CLUB EL POBLADO
177,ENVIGAO
260,LA MARIA
568,VILLA LIA
333,LOMA LOS BALSOS
346,MAJAGUA NATURAL
470,LOMA SAN REMO
5,AEROPARQUE JUAN PABLO II
465,SAN MATEO
313,POBLADO LOMA DE LOS PARRA
503,POBLADO SURORIENTE
351,MANRIQUE CENTRAL NO.2
328,LORETO
253,LA LINDE
197,BARRIO MAYORCA GUAYABAL
552,URBANIZACION VILLA CENTRAL
221,LA BERMEJALA
218,LA BAHIA
385,ORIENTE ANTIOQUEÑO LLANOGRANDE
147,DORADO
441,SABANETA SECTOR EURO
156,EL POBLADO LOS BALSOS
44,BELEN RODEO
174,ENVIGADO CAMINO VERDE
44,BELEN LOMA DE LOS BERNAL
201,TRANSV INTERMEDIA
174,EL PORTAL ENVIGADO
135,EL AJIZAL
411,AV POBLADO
356,CONQUISTADORES MEDELLIN
131,DOCE DE OCTUBRE
476,SANTA GEMA
300,SUR POBLADO LAS PALMAS
357,BARRIO MESA
6,ALCALA 
296,LOMITAS
554,URBANIZACION VILLA JARDIN I ETAPA
22,ANDALUCÌA
355,COLOMBIA ANTIOQUIA SABANETA MAYORCA
27,ASDECILLAS
89,CARIBE
152,EL NARANJAL
527,UB. RESERVA DE SAN JUAN
152,NARANJAL
228,CASTELLANA
437,ROBLEDO CAMPIÑA
206,JUAN XXIII LA QUIEBRA
188,FLORENCIA NOROCCIDENTE
144,EL CORAZON EL MORRO
489,SANTO DOMINGO SAVIO NO.1
24,ARANJUEZ BERLIN 
320,POBLADO LOMA DEL INDIO
300,BELLA TERRA ALTO DE LAS PALMAS
269,LA PINUELA
179,LOMA ESMERALDAL
282,LALINDE
475,SANTA FE DE ANTIOQUIA
541,URBANIZACION MILAN CONDOMINIO IV
547,URBANIZACION RINCON DE LA VILLA
396,PARQUE BOLIVAR
44,BELEN ALTAVISTA
271,FLORESTA LA PRADERA
142,LOMA EL CHOCHO
181,EL ESTADIO
148,EL EDEN
52,LOMA LOS BENEDICTINOS
111,CO. FUNDADORES 1
48,LOS ALPES
274,LOMA LA SEBASTIANA
65,LA MILAGROSA BUENOS AIRES
219,LA BARQUEREÑA
460,SAN JOSE DE LA CIMA NO.2
44,BELEN MALIBU
128,CUMBRE
229,LA CATEDRA
101,CENTRORIENTAL
249,LA GABRIELA
103,EL RETIRO
178,LOMAS DEL ESCOBERO
393,SABANETA PAN DE AZUCAR
506,TENCHE
107,LOMA CHINGUI
394,VEREDA PANTANILLO
294,LAS GRANJAS
487,SANTAMARIA II
420,SAN ANTONIA DE PRADO
410,PLAZA DE FERIAS
131,URBANIZACION DOCE DE OCTUBRE
501,UNIDAD AIRES DE SURAMERICA
66,BURDEOS
47,LAS MERCEDES
358,MILAN - VALLEJUELOS
129,BARRIO DITAIRES
6,BARRIO ALCALA
434,RINCON DEL PARQUE
119,CONJUNTO RESIDENCIAL CAMINO DEL PARQUE
462,CD SAN LUCAS
372,VILLA GRANDE
176,ENVIGADSO
321,LOMA DEL INIDIO
195,GRATAMIRA
545,URBANIZACION PUERTO LUNA
370,MONTIEL II
534,URBANIZACION EL ENCANTO
133,ECOPARQUE CERRO EL VOLADOR
443,SALVATORIANOS
562,VEREDA OLIVARES
309,LOMA DE LAS BRUJAS ENVIGADO
19,NORTEAMERICA
92,CARRIZALES
259,LA MANSION
104,CERRITOS
178,LOMA ESCOBERO
311,LA LOMA DE LOS BERNAL
264,LA NAVARRA
405,PERPETUO SOCORRO
394,VEREDA EL PANTANILLO
61,BOSTON MEDELLIN
43,BAVARIA
492,PARQUE
536,URBANIZACION LEMONT
585,ZAMORA
44,BELEN LOMA BERNAL
403,PEREZ
404,PERICO
432,EL PALMAR
174,ENVIGADO LOMA DE LOS MESA
400,PATIO BONITO POBLADO
214,LA ALPUJARRA
293,LOMA DE LAS FLORES
7,UB TORRES DE ALDEA VERDE
369,MONTEVERDE
386,ORIENTE ANTIOQUEÑO SECTOR EL LLANITO
