neighbourhood,latitude,longitude,property_type,price,rooms,baths,area,administration_price,age,garages,stratum
Francisco Antonio Zea,6.2854508,-75.57373009999999,Casa,450000000,4,2,110.0,0.0,,,3
FRANCISCO ANTONIO ZEA,6.2852299,-75.5712649,Apartamento,165000000,3,1,65.0,0.0,2.0,,3
Calasanz,6.266911599999999,-75.6024778,Apartamento,365000000,3,2,78.0,240000.0,3.0,1,4
Altos del Poblado,6.218871699999999,-75.56078459999999,Apartamento,450000000,2,2,64.0,0.0,0.0,1,4
la Inmaculada,6.167286499999999,-75.5836963,Apartamento,750000000,2,4,166.0,0.0,2.0,2,5
Las Lomitas,6.153236799999999,-75.60499639999999,Apartamento,420000000,3,2,75.0,295000.0,,1,5
El Poblado,6.2034815,-75.5716589,Casa,1450000000,3,5,212.0,879000.0,3.0,4,6
cumbres,6.1722436,-75.5885643,Apartamento,730000000,3,3,120.0,0.0,,1,4
Suramerica,6.1653326,-75.6335924,Apartamento,460000000,3,2,71.0,0.0,,1,4
Escobero,6.1476857,-75.5616753,Apartamento,1337360000,3,3,163.0,0.0,0.0,2,5
Buenos aires,6.210174899999999,-75.4982476,Apartamento,330000000,2,2,74.0,267000.0,1.0,1,3
Urbanizacion villa ventura,6.185702699999999,-75.6061711,Apartamento,172000000,2,2,56.0,0.0,2.0,2,3
Los alcazares,6.148882,-75.60918099999999,Apartamento,550000000,3,2,64.0,220000.0,,,4
aves marias,6.1474276,-75.6165055,Apartamento,410000000,3,2,71.0,180000.0,3.0,1,4
Santa catalina,6.1646493,-75.632396,Apartamento,650000000,3,2,97.0,258000.0,,2,4
Shellmar,6.2224933,-75.5778337,Apartamento,579000000,2,2,82.0,0.0,1.0,1,5
Simon bolivar,6.2430012,-75.6048047,Apartamento,480000000,3,2,95.0,0.0,,1,5
Loma de las brujas,6.167286499999999,-75.5836963,Apartamento,1250000000,3,5,205.0,0.0,1.0,2,6
Aves Maria,6.148975,-75.6172429,Apartamento,850000000,4,4,215.0,0.0,,2,5
Las Palmas,6.154057099999999,-75.5324606,Casa,2100000000,3,4,300.0,0.0,,,5
Loma De Los Parra,6.200098499999999,-75.5621815,Apartamento,1150000000,3,4,190.0,624000.0,,2,6
Maria auxiliadora,6.151892699999999,-75.60005629999999,Apartamento,227000000,3,2,52.0,123000.0,1.0,,2
EL PORTAL,6.1750672,-75.5905851,Apartamento,635000000,3,3,130.0,0.0,1.0,1,5
Pan de azucar,6.1417532,-75.6088286,Apartamento,230000000,3,2,75.0,20000.0,,,2
Loma del Indio,6.226088799999999,-75.5596619,Apartamento,420000000,2,2,58.0,0.0,1.0,1,4
Loma Del Escobero,6.154268399999999,-75.5834138,Casa,3000000000,6,7,600.0,870000.0,2.0,6,6
Las palmas,6.1586225,-75.5464593,Casa,4506500000,3,5,500.0,1300000.0,2.0,4,6
Robledo,6.2743396,-75.6088024,Apartamento,180000000,3,1,45.0,1700.0,,,3
Belén,6.2859,-75.5845118,Casa,450000000,3,2,105.0,0.0,,,3
La candelaria,6.2476376,-75.56581530000001,Apartamento,150000000,3,1,43.0,20000.0,3.0,1,3
Carlos E Restrepo,6.2578489,-75.5824804,Apartamento,370000000,3,2,90.0,290000.0,3.0,1,4
El Salvador,6.2442708,-75.5636825,Casa,230000000,3,2,100.0,0.0,4.0,,3
BENEDICTINOS,6.1754124,-75.5671435,Apartamento,635000000,2,2,114.0,0.0,,1,5
cumbres,6.1706439,-75.5721994,Casa,740000000,2,3,155.0,0.0,,1,5
El socorro,6.2596626,-75.61630459999999,Casa,250000000,4,2,96.0,0.0,2.0,,3
loma del esmeraldal,6.1695775,-75.5694714,Casa,1700000000,4,4,204.0,794000.0,3.0,2,5
benedictinos,6.1657023,-75.5761018,Casa,1900000000,3,4,305.0,580000.0,,4,6
Holanda,6.1504856,-75.61687859999999,Apartamento,850000000,3,3,161.0,459000.0,1.0,2,4
Santa maria la nueva,6.1681832,-75.6190324,Apartamento,245000000,3,2,57.0,204000.0,3.0,1,3
Quebrada la clara,6.171772799999999,-75.5753154,Apartamento,1165000000,3,3,150.0,750000.0,1.0,2,5
Loma del Indio,6.2241763,-75.5617369,Apartamento,530000000,2,2,64.0,0.0,,1,5
Zuñiga,6.176843499999999,-75.57259789999999,Casa,2250000000,4,5,315.0,893851.0,3.0,2,6
Boston,6.2476376,-75.56581530000001,Apartamento,310000000,4,3,104.0,0.0,,,4
Suramerica,6.163156799999999,-75.62255909999999,Apartamento,450000000,3,2,92.0,254281.0,1.0,1,4
Poblado Santa Maria de los Angeles,6.1914991,-75.5804543,Apartamento,530000000,2,2,70.0,350000.0,3.0,1,6
suramerica,6.1565866,-75.62687799999999,Apartamento,430000000,3,2,87.0,306000.0,,1,4
Pajarito,6.2857093,-75.60948789999999,Apartamento,170000000,3,1,4749.0,0.0,1.0,1,3
San lucas,6.167286499999999,-75.5836963,Casa,1190000000,3,4,209.0,0.0,,,6
ITAGUI,6.1681832,-75.6190324,Apartamento,270000000,3,2,57.0,0.0,,1,4
Robledo,6.292593399999999,-75.5926357,Casa,190000000,3,2,72.0,0.0,2.0,1,2
