neighbourhood,count
TRIANÓN,1
URBANIZACION SANTAMARIA,1
MANILA,1
POBLADO SANTA MARÍA DE LOS ÁNGELES,1
SEVILLA CENTRO,1
URBANIZACION LA FLORIDA,1
ALTAVISTA,1
MANUEL RESTREPO,1
BOMBONA II,1
LOMA SAN JULIAN,1
CALASANZ PARTE BAJA,1
BELEN LOS ALPES,1
CO. FUNDADORES 2,1
PRADO CENTRO MEDELLÍN,1
URBANIZACION ALIBIANTE,1
LA TOJA,1
EL NOGAL LOS ALMENDROS,1
LOMA DE PAN DE AZUCAR,1
ROBLEDO MEDELLIN SECTOR LA AURORA,1
SECTOR PARQUE,1
VEINTE DE JULIO,1
LA DOCTORA SABANETA,1
CALLEJON DEL BANCO,1
SABANETA CALLE LARGA,1
ENVIGADO BENEDICTINOS,1
ENVIGAO,1
ANDALUCÍA,1
LAS PALMAS INTERCONTINENTAL COUNTRY CLUB EL POBLADO,1
MANRIQUE LAS ESMERALDAS,1
FLORESTA PRADERA,1
ENTRECOLINAS,1
ENVIGADO CUMBRES,1
PRADERA,1
URBANIZACION QUINTAS DE LA 5TA,1
CIUDAD EL RIO,1
SABANETA BARQUEREÑA,1
ENVIGADO TRIANON,1
POBLADO PATIO BONITO,1
SANTA ELENEA SECTOR CENTRAL,1
LA TOMATERA,1
LA RAYA PARTE ALTA,1
TORRE LOS ANGELES,1
LOMA DEL ESCOBERO PARTE BAJA,1
JESÚS NAZARENO,1
VILLAS DEL SOL,1
BRISAS DE SAN DIEGO,1
MANRIQUE GUADALUPE,1
VILLA LIA,1
LOMA LOS BALSOS,1
MAJAGUA NATURAL,1
LOMA SAN REMO,1
AV POBLADO,1
LA UNION,1
EL PORTAL ENVIGADO,1
POBLADO LOMA LOS BALSOS,1
BELÉN LOMA DE LOS BERNAL,1
ENVIGADO CAMINO VERDE,1
BELÉN RODEO,1
EL POBLADO LOS BALSOS,1
SABANETA SECTOR EURO,1
DORADO,1
ORIENTE ANTIOQUEÑO LLANOGRANDE,1
LA BAHIA,1
CHINGUI,1
BARRIO MAYORCA GUAYABAL,1
BELÉN GRANADA,1
URBANIZACION SORRENTO,1
BARRIO NUEVO,1
LOMA DEL ATRAVESADO ENVIGADO,1
POBLADO LOMA DE LOS PARRA,1
SAN MATEO,1
EL CEBADERO,1
MADEROS DEL CAMPO,1
ANDALUCIA,1
BALCONES DE LA ABADIA II,1
PUERTO PEÑALISA,1
EL RAIZAL,1
FABRICATO,1
ENVIGADO ZUÑIGA,1
CALDAS,1
ABURRA SUR PRIMAVERA,1
ORQUÍDEAS,1
PARQUES DE SAN REMO,1
FERRINI,1
QUINTAS DEL PALMAR,1
LA CAPILLA,1
ATRAVESADO,1
URBANIZACION CRUCERO DEL SUR,1
ITAGUÍ SECTOR SURAMÉRICA,1
UB. SAN JUAN CAMPESTRE,1
